,RegionName,RegionID,SizeRank,Date,value
483,"North Port-Sarasota-Bradenton, FL",753906,75,2014-05,1245
484,"Little Rock, AR",394798,76,2014-05,788
485,"Stockton, CA",395134,77,2014-05,1395
486,"Charleston, SC",394457,78,2014-05,1164
487,"Syracuse, NY",395143,79,2014-05,939
488,"Colorado Springs, CO",394484,80,2014-05,1051
489,"Winston-Salem, NC",395235,81,2014-05,1078
490,"Wichita, KS",395224,82,2014-05,743
491,"Springfield, MA",395115,83,2014-05,1235
492,"Fort Myers, FL",394440,84,2014-05,998
493,"Boise City, ID",394399,85,2014-05,963
494,"Toledo, OH",395160,86,2014-05,833
495,"Madison, WI",394816,87,2014-05,1033
496,"Lakeland, FL",394766,88,2014-05,1037
497,"Ogden, UT",394931,89,2014-05,961
498,"Daytona Beach, FL",394528,90,2014-05,1007
499,"Des Moines, IA",394531,91,2014-05,1011
500,"Jackson, MS",394711,92,2014-05,1092
501,"Youngstown, OH",395245,93,2014-05,622
502,"Augusta, GA",394352,94,2014-05,913
503,"Scranton, PA",395075,95,2014-05,839
504,"Harrisburg, PA",394666,96,2014-05,977
505,"Melbourne, FL",394957,97,2014-05,959
506,"Spokane, WA",395113,99,2014-05,927
507,"Provo, UT",395006,100,2014-05,1020
508,"Killeen, TX",394746,128,2014-05,866
509,"College Station, TX",394483,192,2014-05,1229
510,United States,102001,0,2014-06,1345
511,"New York, NY",394913,1,2014-06,4787
512,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-06,1803
513,"Chicago, IL",394463,3,2014-06,1423
514,"Dallas-Fort Worth, TX",394514,4,2014-06,1146
515,"Philadelphia, PA",394974,5,2014-06,1344
516,"Houston, TX",394692,6,2014-06,1194
517,"Washington, DC",395209,7,2014-06,1785
518,"Miami-Fort Lauderdale, FL",394856,8,2014-06,1601
519,"Atlanta, GA",394347,9,2014-06,1097
520,"Boston, MA",394404,10,2014-06,2182
521,"San Francisco, CA",395057,11,2014-06,2320
522,"Detroit, MI",394532,12,2014-06,976
523,"Riverside, CA",395025,13,2014-06,1450
524,"Phoenix, AZ",394976,14,2014-06,977
525,"Seattle, WA",395078,15,2014-06,1411
526,"Minneapolis-St Paul, MN",394865,16,2014-06,1196
527,"San Diego, CA",395056,17,2014-06,1749
528,"St. Louis, MO",395121,18,2014-06,921
529,"Tampa, FL",395148,19,2014-06,1126
530,"Baltimore, MD",394358,20,2014-06,1452
531,"Denver, CO",394530,21,2014-06,1264
532,"Pittsburgh, PA",394982,22,2014-06,1029
533,"Portland, OR",394998,23,2014-06,1183
534,"Charlotte, NC",394458,24,2014-06,1078
535,"Sacramento, CA",395045,25,2014-06,1294
536,"San Antonio, TX",395055,26,2014-06,971
537,"Orlando, FL",394943,27,2014-06,1183
538,"Cincinnati, OH",394466,28,2014-06,948
539,"Cleveland, OH",394475,29,2014-06,937
540,"Kansas City, MO",394735,30,2014-06,901
541,"Las Vegas, NV",394775,31,2014-06,1017
542,"Columbus, OH",394492,32,2014-06,940
543,"Indianapolis, IN",394705,33,2014-06,964
544,"San Jose, CA",395059,34,2014-06,2337
545,"Austin, TX",394355,35,2014-06,1205
546,"Virginia Beach, VA",395194,36,2014-06,1159
547,"Nashville, TN",394902,37,2014-06,1163
548,"Providence, RI",395005,38,2014-06,1172
549,"Milwaukee, WI",394862,39,2014-06,959
550,"Jacksonville, FL",394714,40,2014-06,1081
551,"Memphis, TN",394849,41,2014-06,1006
552,"Oklahoma City, OK",394935,42,2014-06,977
553,"Louisville-Jefferson County, KY",394807,43,2014-06,862
554,"Hartford, CT",394669,44,2014-06,1241
555,"Richmond, VA",395022,45,2014-06,1075
556,"New Orleans, LA",394910,46,2014-06,1086
557,"Buffalo, NY",394425,47,2014-06,806
558,"Raleigh, NC",395012,48,2014-06,1142
